Species	Genome_size	Mph1103I	Csp6I	FspBI	Tru1I	VspI	NdeI
Otolemur_garnettii	2520	1352596	83510	92195	50248	39013	23832
Propithecus_coquereli	2798	1347874	79351	90578	46599	41797	22153
Microcebus_murinus	2439	1584022	95475	109918	54634	57133	27657
Eulemur_flavifrons	2115	1370454	83472	93921	46710	43603	23944
Eulemur_macaco	2120	1376142	84677	94881	47563	44202	24194
Daubentonia_madagascariensis	2855	3024704	126875	138338	71677	64682	37480
Carlito_syrichta	3454	2283400	131468	145236	87342	58792	40116
Aotus_nancymaae	2927	1698422	101506	112063	62938	46441	29194
Callithrix_jacchus	2621	1761026	105687	116385	68140	47278	30455
Saimiri_boliviensis	2609	1607786	97716	107681	60764	44251	27985
Cebus_capucinus	2718	1706450	103772	114367	65092	47515	30329
Nomascus_leucogenys	2962	1756876	105180	116154	67378	47881	30832
Pongo_abelii	3441	2069698	121184	136409	78567	55685	36291
Gorilla_gorilla	3058	1924618	111408	118314	78643	49223	31999
Homo_sapiens	2996	1918968	116002	130391	74745	52651	34062
Pan_troglodytes	3231	1885374	112335	124897	71594	51887	33366
Pan_paniscus	3287	1768408	107253	118631	67443	49660	31960
Colobus_angolensis	2970	1748266	105131	117752	67465	47388	30320
Piliocolobus_tephrosceles	2970	1860334	111553	124551	71576	52059	32900
Rhinopithecus_roxellana	2900	1856306	110487	123393	71376	49905	31994
Rhinopithecus_bieti	2900	1860744	110312	123263	71399	50051	32140
Nasalis_larvatus	3012	1804094	101811	111488	63356	46992	29659
Chlorocebus_sabaeus	2790	1754436	107286	118357	67808	48486	31178
Papio_anubis	2948	1790550	107735	120523	71158	49261	31361
Cercocebus_atys	2848	1787236	108892	120520	69823	49291	31596
Mandrillus_leucophaeus	3062	1774388	107134	118274	67739	48689	30889
Macaca_nemestrina	2949	1820460	110936	123354	71075	50609	32124
Macaca_mulatta	3098	1815530	107557	120758	69983	49515	31589
Macaca_fascicularis	2947	1768076	106669	119441	68556	49414	31249
