Species	Genome_size	Alw44I	Csp6I	FspBI	Tru1I	VspI	NdeI
Otolemur_garnettii	2520	754710	47053	52502	40100	19030	12328
Propithecus_coquereli	2798	768108	45281	52929	40116	20446	11062
Microcebus_murinus	2439	893550	50189	64203	43943	26902	13049
Eulemur_flavifrons	2115	791546	46558	55280	39965	21323	12134
Eulemur_macaco	2120	790636	47148	55995	40557	21701	12354
Daubentonia_madagascariensis	2855	1620616	69061	75120	51278	31210	19025
Carlito_syrichta	3454	1167808	71230	80079	60700	25738	19465
Aotus_nancymaae	2927	845934	52248	58638	45110	20099	13378
Callithrix_jacchus	2621	879236	54733	60960	50408	20672	14200
Saimiri_boliviensis	2609	769722	48766	53596	42604	18475	12159
Cebus_capucinus	2718	830642	52602	58429	46043	19935	13611
Nomascus_leucogenys	2962	947586	56620	65517	51396	23341	15266
Pongo_abelii	3441	1115128	66460	75181	60428	26734	17985
Gorilla_gorilla	3058	943740	56587	63352	52294	22522	15102
Homo_sapiens	2996	1044898	64384	72207	61817	25202	16970
Pan_troglodytes	3231	1007438	60697	69216	57569	24313	16169
Pan_paniscus	3287	934694	57498	65134	54303	23277	15400
Colobus_angolensis	2970	887042	55861	61764	49009	21564	14496
Piliocolobus_tephrosceles	2970	939252	58930	65845	53736	22792	15406
Rhinopithecus_roxellana	2900	959264	59311	66590	52592	22973	15377
Rhinopithecus_bieti	2900	958746	58684	66201	52877	22909	15284
Nasalis_larvatus	3012	867750	50724	55838	43143	20172	13302
Chlorocebus_sabaeus	2790	922674	57854	64516	52282	22430	15161
Papio_anubis	2948	929764	58124	64976	52680	22189	15056
Cercocebus_atys	2848	933034	59203	65299	52518	22820	15372
Mandrillus_leucophaeus	3062	915414	57274	62818	49865	22140	14915
Macaca_nemestrina	2949	944052	59721	66204	53297	23058	15710
Macaca_mulatta	3098	946160	57839	64716	52567	22444	15060
Macaca_fascicularis	2947	913786	57471	63822	51770	22259	14971
