Species	Genome_size	PstI	Csp6I	FspBI	Tru1I	VspI	NdeI
Otolemur_garnettii	2520	1966454	115107	121428	100119	45930	28677
Propithecus_coquereli	2798	1853664	102498	113087	92956	44106	23487
Microcebus_murinus	2439	2024942	109540	124931	101825	54601	26312
Eulemur_flavifrons	2115	1847498	103114	114332	91926	43265	24298
Eulemur_macaco	2120	1853154	104434	115845	93173	43875	24575
Daubentonia_madagascariensis	2855	3573754	135520	145587	105696	59598	36276
Carlito_syrichta	3454	3008698	167932	183153	153979	66849	44569
Aotus_nancymaae	2927	2334570	126205	143131	113787	48275	32050
Callithrix_jacchus	2621	2461046	134837	148898	122335	49555	34132
Saimiri_boliviensis	2609	2248842	124493	138979	111931	46530	30889
Cebus_capucinus	2718	2381984	130850	147473	118525	49357	33216
Nomascus_leucogenys	2962	2517504	133713	155551	125230	51972	34806
Pongo_abelii	3441	2832188	150376	177077	142103	59054	39663
Gorilla_gorilla	3058	2476900	133990	155157	124740	52485	34762
Homo_sapiens	2996	2792694	149828	177552	143742	57941	38317
Pan_troglodytes	3231	2617970	141445	166135	132867	55618	36859
Pan_paniscus	3287	2462236	135502	157926	126402	52993	35111
Colobus_angolensis	2970	2412540	133559	151425	122396	50599	33936
Piliocolobus_tephrosceles	2970	2501146	139686	159162	128714	52215	35315
Rhinopithecus_roxellana	2900	2569388	140267	160881	129230	53071	35414
Rhinopithecus_bieti	2900	2577000	139833	160509	129404	53013	35752
Nasalis_larvatus	3012	2351224	122076	135999	108029	47537	31621
Chlorocebus_sabaeus	2790	2445782	137375	155284	126217	51589	34918
Papio_anubis	2948	2527652	138228	158605	131963	52027	35078
Cercocebus_atys	2848	2481038	139101	157591	128125	52268	35129
Mandrillus_leucophaeus	3062	2443250	135170	152912	124089	51421	34190
Macaca_nemestrina	2949	2510598	140492	159003	130687	53171	35319
Macaca_mulatta	3098	2531398	137014	156660	129622	51991	34937
Macaca_fascicularis	2947	2461596	136125	155769	128736	51673	34508
