Species	Genome_size	SdaI	Csp6I	FspBI	Tru1I	VspI	NdeI
Otolemur_garnettii	2520	154072	10377	11553	10906	3290	2252
Propithecus_coquereli	2798	148392	9834	11296	9796	3160	1869
Microcebus_murinus	2439	168376	10589	12974	11353	4123	2034
Eulemur_flavifrons	2115	159614	10653	12079	10509	3490	2049
Eulemur_macaco	2120	159922	10746	12278	10617	3443	2045
Daubentonia_madagascariensis	2855	319636	14782	16160	12925	5420	3559
Carlito_syrichta	3454	262768	16561	19283	19921	4884	3827
Aotus_nancymaae	2927	147448	9390	10536	9797	2694	2092
Callithrix_jacchus	2621	152320	9763	10920	10168	2772	2136
Saimiri_boliviensis	2609	138838	8870	10144	9328	2534	1867
Cebus_capucinus	2718	149400	9539	10939	10142	2724	2044
Nomascus_leucogenys	2962	146678	9227	10581	9811	2887	2044
Pongo_abelii	3441	170844	10725	12355	11373	3295	2371
Gorilla_gorilla	3058	150622	9627	11045	10096	2889	2033
Homo_sapiens	2996	167434	10643	12557	11300	3019	2247
Pan_troglodytes	3231	158120	9891	11662	10504	2959	2133
Pan_paniscus	3287	148652	9524	11143	10092	2830	2072
Colobus_angolensis	2970	147064	9635	11038	9916	2732	2037
Piliocolobus_tephrosceles	2970	152828	10009	11407	10419	2817	2160
Rhinopithecus_roxellana	2900	161188	10490	11748	10518	2975	2206
Rhinopithecus_bieti	2977	162614	10465	11940	10656	3004	2292
Nasalis_larvatus	3012	158172	9165	10317	9160	2658	2018
Chlorocebus_sabaeus	2790	147832	9696	10861	10122	2792	2079
Papio_anubis	2948	154504	9728	11351	10877	2743	2133
Cercocebus_atys	2848	152118	9921	11153	10405	2791	2135
Mandrillus_leucophaeus	3062	151502	9678	11027	10254	2855	2112
Macaca_nemestrina	2949	152224	9895	11304	10430	2859	2147
Macaca_mulatta	3098	153540	9666	11178	10274	2756	2148
Macaca_fascicularis	2947	147954	9534	10986	10185	2719	2111
